Date,Gold
2018/8/27,1201.37
2018/8/28,1206.86
2018/8/29,1200.07
2018/8/30,1200.97
2018/8/31,1200.97
2018/9/1,1200.97
2018/9/2,1201.53
2018/9/3,1191.71
2018/9/4,1196.99
2018/9/5,1200.36
2018/9/6,1196.15
2018/9/7,1196.15
2018/9/8,1196.15
2018/9/9,1196.14
2018/9/10,1198.96
2018/9/11,1206.44
2018/9/12,1201.71
2018/9/13,1193.95
2018/9/14,1193.95
2018/9/15,1193.95
2018/9/16,1201.72
2018/9/17,1198.56
2018/9/18,1204.21
2018/9/19,1207.41
2018/9/20,1199.29
2018/9/21,1199.29
2018/9/22,1199.29
2018/9/23,1199.05
2018/9/24,1201.43
2018/9/25,1194.68
2018/9/26,1183.02
2018/9/27,1191.67
2018/9/28,1191.67
2018/9/29,1191.67
2018/9/30,1189.41
2018/10/1,1203.28
2018/10/2,1197.64
2018/10/3,1200.11
2018/10/4,1203.27
2018/10/5,1203.27
2018/10/6,1203.27
2018/10/7,1188.22
2018/10/8,1190.08
2018/10/9,1195.07
2018/10/10,1224.58
2018/10/11,1217.87
2018/10/12,1217.87
2018/10/13,1217.87
2018/10/14,1227.16
2018/10/15,1225.06
2018/10/16,1222.54
2018/10/17,1226.13
2018/10/18,1226.93
2018/10/19,1226.93
2018/10/20,1226.93
2018/10/21,1222.31
2018/10/22,1230.4
2018/10/23,1234.46
2018/10/24,1232.5
2018/10/25,1234.21
2018/10/26,1234.21
2018/10/27,1234.21
2018/10/28,1229.66
2018/10/29,1223.22
2018/10/30,1215.01
2018/10/31,1233.8
2018/11/1,1233.12
2018/11/2,1233.12
2018/11/3,1233.12
2018/11/4,1231.91
2018/11/5,1227.73
2018/11/6,1227.27
2018/11/7,1224.24
2018/11/8,1209.67
2018/11/9,1209.67
2018/11/10,1209.67
2018/11/11,1200.94
2018/11/12,1202.41
2018/11/13,1211.68
2018/11/14,1214.09
2018/11/15,1221.68
2018/11/16,1221.68
2018/11/17,1221.68
2018/11/18,1224.36
2018/11/19,1221.87
2018/11/20,1226.24
2018/11/21,1227.76
2018/11/22,1224.85
2018/11/23,1224.85
2018/11/24,1224.85
2018/11/25,1222.56
2018/11/26,1215.3
2018/11/27,1221.37
2018/11/28,1224.71
2018/11/29,1222.03
2018/11/30,1222.03
2018/12/1,1222.03
2018/12/2,1230.96
2018/12/3,1238.71
2018/12/4,1237.37
2018/12/5,1238.16
2018/12/6,1248.21
2018/12/7,1248.21
2018/12/8,1248.21
2018/12/9,1245.24
2018/12/10,1243.82
2018/12/11,1246.31
2018/12/12,1242.71
2018/12/13,1238.43
2018/12/14,1238.43
2018/12/15,1238.43
2018/12/16,1246.65
2018/12/17,1250.34
2018/12/18,1243.28
2018/12/19,1259.99
2018/12/20,1255.93
2018/12/21,1255.93
2018/12/22,1255.93
2018/12/23,1269.91
2018/12/24,1269.91
2018/12/25,1267.23
2018/12/26,1276.05
2018/12/27,1280.9
2018/12/28,1280.9
2018/12/29,1280.9
2018/12/30,1280.27
2018/12/31,1280.27
2019/1/1,1284.74
2019/1/2,1294.48
2019/1/3,1285.12
2019/1/4,1285.12
2019/1/5,1285.12
2019/1/6,1289.95
2019/1/7,1285.64
2019/1/8,1293.52
2019/1/9,1286.77
2019/1/10,1287.95
2019/1/11,1287.95
2019/1/12,1287.95
2019/1/13,1291.86
2019/1/14,1290.16
2019/1/15,1293.94
2019/1/16,1292.23
2019/1/17,1281.56
2019/1/18,1281.56
2019/1/19,1281.56
2019/1/20,1280.43
2019/1/21,1285.31
2019/1/22,1282.92
2019/1/23,1281.34
2019/1/24,1303.31
2019/1/25,1303.31
2019/1/26,1303.31
2019/1/27,1304.11
2019/1/28,1312.1
2019/1/29,1319.9
2019/1/30,1321.61
2019/1/31,1318.15
2019/2/1,1318.15
2019/2/2,1318.15
2019/2/3,1312.35
2019/2/4,1315.49
2019/2/5,1306.75
2019/2/6,1310.66
2019/2/7,1314.16
2019/2/8,1314.16
2019/2/9,1314.16
2019/2/10,1308.4
2019/2/11,1311.04
2019/2/12,1306.39
2019/2/13,1312.66
2019/2/14,1321.53
2019/2/15,1321.53
2019/2/16,1321.53
2019/2/17,1327.15
2019/2/18,1341.31
2019/2/19,1339.32
2019/2/20,1323.56
2019/2/21,1327.96
2019/2/22,1327.96
2019/2/23,1327.96
2019/2/24,1327.66
2019/2/25,1329.18
2019/2/26,1320.07
2019/2/27,1313.39
2019/2/28,1293.35
2019/3/1,1293.35
2019/3/2,1293.35
2019/3/3,1286.88
2019/3/4,1288.65
2019/3/5,1286.64
2019/3/6,1285.84
2019/3/7,1298.49
2019/3/8,1298.49
2019/3/9,1298.49
2019/3/10,1293.69
2019/3/11,1301.76
2019/3/12,1309.26
2019/3/13,1296.37
2019/3/14,1302.49
2019/3/15,1302.49
2019/3/16,1302.49
2019/3/17,1303.85
2019/3/18,1306.7
2019/3/19,1312.75
2019/3/20,1309.59
2019/3/21,1313.43
2019/3/22,1313.43
2019/3/23,1313.43
2019/3/24,1322.07
2019/3/25,1315.84
2019/3/26,1310.36
2019/3/27,1290.61
2019/3/28,1292.35
2019/3/29,1292.35
2019/3/30,1292.35
2019/3/31,1287.94
2019/4/1,1292.75
2019/4/2,1290.22
2019/4/3,1292.44
2019/4/4,1291.78
2019/4/5,1291.78
2019/4/6,1291.78
2019/4/7,1297.76
2019/4/8,1304.76
2019/4/9,1308.28
2019/4/10,1292.85
2019/4/11,1291.05
2019/4/12,1291.05
2019/4/13,1291.05
2019/4/14,1288.11
