2001-09-09,271.75
2001-09-10,286.25
2001-09-11,278.25
2001-09-12,281.25
2001-09-13,285.55
2001-09-16,289.45
2001-09-17,287.75
2001-09-18,290.5
2001-09-19,288.65
2001-09-20,291.45
2001-09-23,289.25
2001-09-24,289.75
2001-09-25,293.25
2001-09-26,291.95
2001-09-27,293.25
2001-09-30,291.7
2001-10-01,289.45
2001-10-02,289.45
2001-10-03,289.85
2001-10-04,291
2001-10-07,291.9
2001-10-08,288
2001-10-09,284.85
2001-10-10,281.25
2001-10-11,284.45
2001-10-14,281.45
2001-10-15,281.35
2001-10-16,282.45
2001-10-17,279.45
2001-10-18,279.65
2001-10-21,275.55
2001-10-22,275.95
2001-10-23,275.45
2001-10-24,277.25
2001-10-25,277.35
2001-10-28,279.27
2001-10-29,280.5
2001-10-30,279.65
2001-10-31,279.65
2001-11-01,279.95
2001-11-04,278.95
2001-11-05,280.25
2001-11-06,280.75
2001-11-07,276.75
2001-11-08,277.45
2001-11-11,278.25
2001-11-12,277.55
2001-11-13,278.3
2001-11-14,275.35
2001-11-15,274.85
2001-11-18,272.95
2001-11-19,273.48
2001-11-20,273.15
2001-11-21,272.85
2001-11-22,272.9
2001-11-25,273.15
2001-11-26,273.45
2001-11-27,274.35
2001-11-28,274.05
2001-11-29,274.4
2001-12-02,277.25
2001-12-03,275.7
2001-12-04,274.45
2001-12-05,274.55
2001-12-06,274.55
2001-12-09,273.15
2001-12-10,272.8
2001-12-11,274.55
2001-12-12,274.45
2001-12-13,278.45
2001-12-16,278.15
2001-12-17,280.45
2001-12-18,276.15
2001-12-19,276.25
2001-12-20,278.15
2001-12-23,278.05
2001-12-24,278.75
2001-12-25,279.38
2001-12-26,277.05
2001-12-27,276.55
2001-12-30,278.95
2001-12-31,278.95
2002-01-01,278.75
2002-01-02,278.45
2002-01-03,278.95
2002-01-06,278.75
2002-01-07,279.05
2002-01-08,283.95
2002-01-09,286.35
2002-01-10,287.55
2002-01-13,284.95
2002-01-14,284.65
2002-01-15,287.15
2002-01-16,284.05
2002-01-17,283.55
2002-01-20,282.55
